"recipe_id","recipe_name","unit_g","calories_kcal","protein_g","fat_g","saturated_fat_g","carbohydrate_g","dietary_fiber_g","sugar_g","vitamin_c_mg","vitamin_a_ug","vitamin_e_mg","vitamin_b1_mg","vitamin_b2_mg","vitamin_b6_mg","vitamin_b12_ug","sodium_mg","potassium_mg","calcium_mg","magnesium_mg","iron_mg","zinc_mg","phosphorus_mg","nicotinin_mg","folate_ug","alpha_carotene_ug","beta_carotene_ug","water_g","ash_g"
29102,陳皮紅豆湯圓,440,1469.45,50.21,1.49,0.41,347.53,44.3,201.03,2.98,0.0,26.74,0.98,0.36,0.82,0.0,5.6,2886.7,211.91,388.58,17.14,7.32,1060.39,4.44,265.73,0.0,0.0,33.29,7.46
29103,起司醬佐松子核果義大利麵,15,9.8,0.5,0.0,0.0,2.25,0.35,0.05,0.6,0.0,0.0,0.0,0.0,0.05,0.0,918.05,1336.35,16.05,4.15,0.3,0.1,14.2,0.05,2.25,0.0,0.0,7.3,4.9
29104,BBQ 豬肋排,1116,1702.08,95.63,86.78,35.19,140.55,22.55,85.11,275.62,1420.17,10.44,4.56,0.11,5.25,4.5,13204.29,22336.81,621.44,317.16,28.81,11.15,910.39,30.56,112.26,116.24,2336.54,709.83,77.69
29105,韓式辣味油醋沙拉,1307,2818.6,38.2,267.67,48.8,90.55,19.62,7.99,220.18,9224.05,66.71,0.66,1.1,1.96,1.38,6536.5,6164.4,251.35,242.86,12.01,5.57,725.93,10.27,132.08,367.8,17878.71,880.94,29.48
29106,法式干邑烤布蕾,40,136.96,0.05,0.05,0.0,35.35,0.05,35.05,1.7,0.0,0.05,0.0,0.0,0.0,0.0,0.51,7.5,1.96,0.5,0.0,0.02,1.14,0.0,0.0,0.0,0.0,4.55,0.0
29107,蛤蜊絲瓜豆腐湯,395,112.08,9.55,3.96,0.75,12.58,3.72,5.2,16.3,4.22,3.68,0.17,0.11,0.3,0.0,962.68,1823.64,56.82,76.45,2.46,0.92,160.14,0.89,119.28,0.0,8.47,362.46,6.47
29108,蟹肉烘蛋,370,427.49,32.79,14.86,5.1,43.1,1.54,15.23,1.07,288.16,6.35,0.16,0.96,2.03,2.67,2608.38,1721.5,403.38,130.53,7.15,5.38,791.83,0.96,144.71,0.0,30.45,268.1,11.24
29109,肉桂焦糖蘋果鬆糕,600,1202.29,30.7,28.14,14.68,212.0,10.05,42.86,17.93,361.49,5.32,0.15,0.56,0.22,0.94,222.71,760.27,134.99,76.95,5.47,4.44,386.27,2.27,153.32,0.0,46.68,325.19,2.0
29110,芒果冰淇淋,530,1432.3,1.8,144.0,100.8,42.1,3.5,31.5,84.0,3430.8,8.9,0.0,0.0,0.0,0.0,570.5,403.4,57.0,28.1,0.0,0.0,87.0,0.0,94.5,0.0,4032.0,336.8,1.8
29111,果醬食譜｜留住夏日酸甜味！手作天然芒果醬,1250,1377.5,0.0,0.0,0.0,360.0,10.0,340.0,240.0,5760.0,10.0,0.0,0.0,0.0,0.0,12.5,1060.0,65.0,70.0,0.0,0.0,120.0,0.0,270.0,0.0,11520.0,880.0,0.0
29112,芒果優酪奶,600,246.0,0.0,0.0,0.0,66.0,6.0,54.0,144.0,3456.0,6.0,0.0,0.0,0.0,0.0,6.0,636.0,36.0,42.0,0.0,0.0,72.0,0.0,162.0,0.0,6912.0,528.0,0.0
29113,芒果西米露,310,160.0,0.0,0.0,0.0,42.0,3.0,27.0,72.5,1728.0,3.0,0.0,0.0,0.0,0.0,4.4,319.7,19.1,21.5,0.1,0.0,36.8,0.0,82.5,0.0,3456.0,265.0,0.0
29114,鳳梨糖醋魚片,650,582.61,81.64,0.08,0.03,66.98,5.67,44.08,205.31,444.93,8.18,0.02,0.03,3.04,0.0,446.36,1827.24,95.87,144.75,4.18,3.63,791.54,46.64,83.1,13.0,877.36,495.68,4.91
29115,辣味番茄鮮蝦麵,449,748.45,45.81,9.27,1.49,122.36,6.2,4.08,31.95,1060.45,8.25,0.11,0.11,0.28,2.65,350.62,1023.75,191.61,153.14,9.26,3.82,524.64,4.78,97.67,5.52,2118.3,267.53,4.76
29116,醬油辣椒松阪豬麵,202,652.64,27.58,9.63,2.8,115.08,4.05,2.32,18.21,135.98,1.88,0.35,0.0,0.11,0.35,54.41,385.81,25.91,78.13,3.68,2.31,261.96,5.32,86.47,2.5,265.1,47.71,2.01
29117,柚子胡椒蛤蜊麵,619,708.73,55.64,3.78,0.9,124.05,3.39,0.59,25.48,85.39,2.34,0.3,3.6,0.35,227.4,2412.97,1286.31,504.6,282.99,40.19,6.35,667.06,8.17,149.38,0.5,52.93,423.66,11.87
29118,醋味野菇寬扁麵,32,49.53,0.93,4.01,2.8,3.57,1.21,0.38,0.43,39.53,0.16,0.0,0.0,0.04,0.0,17.36,74.5,6.88,8.23,0.76,0.24,23.87,0.65,11.11,0.0,0.45,23.36,0.34
29119,海苔玉子燒,124,175.46,19.34,10.18,3.48,5.91,3.2,0.16,0.68,1364.94,2.32,0.22,0.94,0.24,13.54,659.15,1120.66,90.61,53.92,3.89,1.87,310.26,1.38,184.04,0.0,2368.12,84.57,4.47
29120,腰果鮮蔬雞丁,107,94.87,3.75,5.46,1.2,9.52,1.22,3.34,22.4,317.72,0.54,0.06,0.01,0.14,0.0,949.89,943.67,94.44,54.19,1.91,0.78,105.64,1.05,70.72,0.0,634.58,83.75,4.57
29121,鮮菇糖醋魚片,248,206.35,38.83,0.12,0.01,14.3,3.61,3.1,14.4,1155.77,1.74,0.03,0.05,1.52,0.0,688.84,1387.14,35.56,70.97,3.79,2.12,392.4,23.09,46.9,0.6,2308.56,190.24,5.14
29122,鳳梨肉燥黃瓜盅,380,64.06,2.64,0.34,0.0,15.46,2.2,12.68,29.58,117.64,0.14,0.04,0.06,0.06,0.0,11.46,459.24,53.36,33.36,4.38,0.72,56.7,0.58,19.98,170.0,150.28,360.5,1.08
29123,香料干白酒燴煮肋條,785,1026.72,73.45,38.77,16.4,98.82,13.18,7.1,48.29,1603.8,2.84,0.34,0.01,3.32,9.1,2095.84,5606.84,361.78,213.3,17.53,19.04,775.33,16.07,88.85,4.5,3128.4,556.29,17.46
29124,炙燒無骨牛小排酸甜醬,330,1011.23,45.72,87.56,39.03,7.68,0.89,5.12,12.88,91.16,0.36,0.0,0.0,0.02,9.0,451.56,797.64,36.07,56.78,6.31,18.15,440.62,9.15,23.82,1.2,85.74,194.19,3.84
29125,味噌野菜燉豬肉,505,762.68,63.05,43.27,15.3,26.34,4.78,12.5,9.99,42.0,1.54,3.04,0.01,3.12,3.0,1370.43,1442.99,57.72,82.89,4.57,7.13,504.69,19.57,47.15,0.0,0.0,362.22,7.61
29126,日式煙燻風牛肉漢堡排,122,131.57,2.11,2.75,0.41,26.15,1.53,7.55,6.03,0.0,1.14,0.04,0.01,0.03,0.0,9.3,169.41,29.29,29.18,0.34,0.2,71.85,0.26,10.49,0.0,0.0,91.34,0.15
29127,白灼沙朗薄片捲綠金針,613,1454.71,25.56,18.12,8.29,474.59,323.68,7.06,8.58,1764.76,51.88,0.06,0.49,1.58,0.0,1891.92,5721.27,6096.3,477.32,129.79,6.83,295.08,2.84,4.47,0.0,3529.71,61.19,33.49
29128,啤酒燉牛梅花肉,145,205.04,18.37,5.33,1.62,34.45,18.84,0.3,28.93,115.59,5.92,0.33,0.03,0.58,0.1,216.5,973.45,353.05,108.62,8.8,2.67,291.81,2.07,21.51,48.79,153.58,83.84,4.11
29129,沙茶牛肉,387,1164.02,55.32,79.95,28.5,56.65,3.45,15.41,3.48,58.38,20.95,0.06,0.04,0.68,7.68,563.39,1053.81,120.16,80.7,7.44,11.19,551.05,8.71,46.05,3.6,39.96,190.57,4.48
29130,鮪魚蛋包飯,532,886.7,32.16,33.12,7.15,115.98,5.71,3.62,10.97,1801.44,11.37,0.24,0.68,0.62,2.75,2622.97,3208.69,121.72,83.26,6.91,3.99,434.33,4.45,110.79,579.28,2947.77,337.67,13.61
29131,百香釀佛手瓜,470,504.33,6.82,32.76,6.16,50.67,6.52,37.41,46.31,52.98,18.37,0.07,0.11,0.33,0.18,3193.01,4466.57,199.59,58.99,3.04,1.58,193.73,1.85,53.12,8.29,101.8,362.6,17.08
29132,奇異果鳳梨,280,156.31,2.86,0.19,0.04,42.47,4.06,34.04,78.86,42.73,1.27,0.01,0.02,0.11,0.0,2.19,542.06,40.72,33.32,0.19,0.15,44.63,0.14,44.97,0.0,85.46,233.96,0.51
29133,木瓜蘋果,405,172.4,3.0,0.0,0.0,48.0,4.0,32.05,177.15,601.0,0.0,0.0,0.0,0.0,0.0,10.0,672.0,73.0,48.0,0.0,0.0,43.0,0.0,141.1,0.0,1204.0,354.0,0.0
29134,西瓜葡萄柚汁,575,197.12,4.51,0.9,0.0,50.39,4.24,14.0,150.99,688.41,0.75,0.11,0.07,0.82,0.0,15.61,579.57,90.16,58.6,0.26,0.45,86.21,0.82,10.0,0.0,1376.86,518.11,1.05
29135,番茄鳳梨養樂多,350,120.65,2.28,0.18,0.08,31.01,2.54,15.27,30.42,602.64,0.85,0.06,0.04,0.15,0.0,22.49,515.96,40.62,27.83,0.95,0.51,61.72,1.09,12.0,0.0,1205.34,315.69,0.83
29136,綜合蔬菜汁,775,235.38,6.45,0.83,0.33,64.89,17.2,43.27,135.33,15575.61,3.23,0.24,0.17,0.71,0.0,276.94,1435.47,156.85,84.46,2.04,1.42,184.21,1.71,222.61,5788.33,28258.3,699.27,3.53
29137,薄荷鳳梨椰奶酪,35,131.84,0.61,3.49,3.1,26.12,0.75,24.21,0.6,0.59,0.21,0.0,0.0,0.0,0.0,17.8,89.8,3.27,6.85,0.22,0.1,21.34,0.05,1.53,0.0,1.18,4.54,0.24
